,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-06-02 08:00:00,08:00:00,08:00:55,1468,2110,16820.0,22,16825.0,10,16820.0,16830.0,16810.0,16820.0,938,-21,16815,7,16820,14
2016-06-02 08:01:00,08:01:00,08:01:59,2111,2574,16820.0,8,16825.0,27,16820.0,16820.0,16800.0,16805.0,558,-73,16805,5,16805,17
2016-06-02 08:02:00,08:02:00,08:02:59,2576,2974,16800.0,17,16805.0,17,16805.0,16810.0,16795.0,16810.0,450,-92,16805,15,16815,18
2016-06-02 08:03:00,08:03:00,08:03:51,2977,3243,16805.0,15,16815.0,18,16810.0,16820.0,16805.0,16810.0,330,28,16805,7,16810,11
2016-06-02 08:04:00,08:04:06,08:04:59,3264,3544,16805.0,20,16810.0,15,16805.0,16810.0,16785.0,16795.0,336,-116,16790,16,16795,14
2016-06-02 08:05:00,08:05:00,08:05:59,3547,3993,16790.0,16,16795.0,14,16790.0,16790.0,16760.0,16760.0,513,95,16760,14,16765,21
2016-06-02 08:06:00,08:06:00,08:06:59,3998,4425,16760.0,17,16765.0,13,16765.0,16790.0,16765.0,16780.0,489,109,16775,25,16780,12
2016-06-02 08:07:00,08:07:01,08:07:59,4432,4759,16775.0,13,16780.0,33,16775.0,16790.0,16770.0,16780.0,283,73,16775,35,16780,12
2016-06-02 08:08:00,08:08:00,08:08:51,4762,4951,16775.0,35,16780.0,12,16780.0,16785.0,16775.0,16780.0,130,46,16780,1,16785,25
2016-06-02 08:09:00,08:09:06,08:09:56,4970,5112,16780.0,6,16785.0,31,16780.0,16780.0,16770.0,16770.0,124,-59,16770,5,16775,22
2016-06-02 08:10:00,08:10:03,08:10:59,5126,5582,16770.0,3,16775.0,28,16770.0,16770.0,16750.0,16760.0,473,36,16755,28,16760,16
2016-06-02 08:11:00,08:11:02,08:11:58,5588,5878,16755.0,25,16760.0,22,16760.0,16770.0,16755.0,16770.0,231,189,16765,24,16770,5
2016-06-02 08:12:00,08:12:00,08:12:50,5881,6089,16765.0,24,16770.0,5,16765.0,16785.0,16765.0,16785.0,156,52,16780,21,16785,13
2016-06-02 08:13:00,08:13:03,08:13:53,6106,6310,16780.0,33,16785.0,17,16785.0,16795.0,16785.0,16785.0,215,119,16785,23,16790,21
